age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
24,M,496,En Couple,3,true,2265 NQ 85
70,F,414,En Couple,3,true,4549 OC 84
20,F,500,Célibataire,0,false,6364 LC 94
52,F,436,En Couple,3,true,3838 CI 34
47,M,1185,En Couple,2,false,9278 BQ 78
21,M,217,Célibataire,0,false,5610 MK 46
30,F,431,En Couple,4,true,9861 JE 13
30,M,516,En Couple,3,false,6178 ZL 57
33,M,457,Célibataire,0,false,9903 ZA 88
58,M,539,Célibataire,0,false,4860 GI 94
19,F,155,Célibataire,0,false,8919 IB 67
65,M,162,Seule,1,false,7909 OI 85
52,M,242,Célibataire,0,false,2862 CJ 19
52,F,198,Célibataire,0,false,8182 HR 49
23,M,736,En Couple,1,true,4148 LJ 91
23,M,465,En Couple,2,true,1105 GM 41
41,Masculin,175,Célibataire,0,false,9102 GJ 62
25,M,497,En Couple,4,false,9106 TU 36
19,F,933,Célibataire,0,false,3487 LR 51
29,M,863,En Couple,2,true,4144 XI 78
19,F,817,Célibataire,0,false,9153 EE 88
28,M,159,En Couple,1,true,5611 YQ 70
68,M,793,Célibataire,0,false,2746 AP 70
26,M,433,Seule,3,false,8765 QL 11
63,M,484,Célibataire,0,false,6698 PW 88
48,M,756,Célibataire,0,false,3115 TK 62
58,M,528,En Couple,0,false,1801 GQ 90
40,M,536,En Couple,2,true,8963 OU 57
40,M,222,En Couple,4,false,2283 NC 25
20,M,719,En Couple,0,false,1773 EF 81
25,M,575,En Couple,0,false,2237 PA 60
26,M,558,Célibataire,0,false,1708 MF 50
26,F,412,En Couple,1,false,6615 SA 72
58,M,947,Célibataire,0,false,7916 QP 39
20,M,540,En Couple,0,false,5065 FO 39
28,M,160,En Couple,1,false,5411 OG 97
30,Homme,449,N/D,0,false,8256 CX 64
82,M,450,En Couple,0,false,6737 MF 67
18,F,425,Célibataire,0,false,6688 CS 55
40,M,581,Célibataire,0,false,2658 DH 52
36,M,434,En Couple,2,false,5224 JZ 85
19,M,1322,En Couple,0,false,6136 PG 43
74,M,418,En Couple,0,false,163 DP 92
25,M,559,Célibataire,0,false,6035 VJ 46
53,M,583,Célibataire,0,false,7011 KC 68
40,M,767,En Couple,3,true,5099 FP 81
26,M,537,Célibataire,0,false,9078 FR 56
51,M,485,Célibataire,0,false,9601 RN 45
68,M,509,Célibataire,0,false,1987 FN 59
48,M,1340,En Couple,2,false,2132 CP 18
35,M,537,En Couple,0,false,6283 FP 25
78,M,493,Seule,2,false,7719 QS 93
53,F,1218,Célibataire,0,false,5962 XX 73
21,M,433,En Couple,2,false,1533 ER 42
19,M,519,Seul,0,false,4180 YJ 93
37,M,800,En Couple,0,false,3872 PQ 14
36,M,579,En Couple,0,false,8570 QE 19
41,M,410,Célibataire,0,false,3075 ZD 70
57,M,1221,En Couple,0,false,6741 QA 16
76,M,191,En Couple,0,false,164 UV 43
79,F,576,En Couple,0,false,2231 LG 29
49,F,1200,En Couple,4,false,4702 FB 74
20,M,423,Célibataire,0,false,3775 CL 65
68,M,517,En Couple,3,false,80 OF 51
45,M,476,En Couple,1,true,4195 OG 96
26,M,732,Célibataire,0,false,1065 FI 65
49,F,983,En Couple,0,false,1220 KD 59
58,M,417,En Couple,2,false,6318 NM 12
25,M,473,En Couple,3,false,9071 GM 10
48,F,521,Célibataire,0,false,7551 OI 52
33,M,965,En Couple,0,false,6025 NT 14
42,M,982,En Couple,3,false,8791 BV 78
39,M,427,Célibataire,0,false,4992 LA 97
25,?,422,Célibataire,0,false,2555 XY 13
77,F,519,Célibataire,0,false,6862 LG 79
57,F,1244,En Couple,2,false,1047 ZW 32
31,M,522,En Couple,1,false,983 IF 85
78,M,594,En Couple,4,true,4086 OF 86
63,?,554,En Couple,0,false,9079 RO 27
46,F,427,Célibataire,0,false,1177 PM 70
46,M,864,Célibataire,0,false,4870 VN 16
76,M,861,En Couple,3,false,9740 SU 89
78,F,770,Seule,2,false,7061 DE 10
28,M,1355,Célibataire,0,false,3526 ZZ 77
45,M,884,En Couple,2,false,1249 AK 95
42,M,445,Célibataire,0,false,4422 OB 35
25,M,192,En Couple,2,true,589 BO 11
76,F,1327,En Couple,1,false,4649 CK 78
61,M,1313,En Couple,1,false,6057 RD 92
40,Homme,997,Célibataire,0,false,2912 LP 43
19,M,235,En Couple,2,false,8175 WJ 19
43,M,438,En Couple,4,false,7036 DV 46
31,M,579,Célibataire,0,false,882 WT 76
22,F,239,Célibataire,0,false,5364 RW 50
66,M,473,En Couple,0,true,9695 HS 86
75,M,1234,En Couple,0,false,2235 WO 59
28,F,584,En Couple,2,false,6429 ON 88
26,M,212,En Couple,2,false,5596 AO 48
40,M,542,En Couple,4,false,6638 MA 75
24,F,1200,Seule,1,false,6959 XD 48
39,F,159,Célibataire,0,false,798 GC 33
76,M,404,En Couple,0,false,1971 GL 84
18,F,447,En Couple,3,false,3984 TQ 44
27,M,1237,Seule,2,false,7396 CO 56
78,M,846,Célibataire,0,false,9350 SQ 18
64,M,930,En Couple,4,false,3476 WA 67
33,M,204,En Couple,2,false,8583 ZH 60
56,F,1209,En Couple,4,false,6178 PV 95
49,F,722,Seule,1,false,5528 XJ 88
42,F,160,Célibataire,0,false,7352 RA 64
46,M,199,En Couple,0,false,7974 ML 65
49,F,423,Marié(e),2,false,6359 TY 70
50,M,455,En Couple,1,false,5704 FK 69
23,F,1334,En Couple,4,false,7867 TY 34
44,F,505,En Couple,0,false,815 GZ 32
73,F,510,En Couple,0,false,6906 PM 53
29,M,1278,Célibataire,0,false,8278 VJ 46
48,F,513,En Couple,2,false,870 RO 84
26,M,875,En Couple,0,false,2100 AK 48
41,F,1300,En Couple,1,false,4008 OI 19
40,F,479,En Couple,3,false,1142 HC 80
84,F,514,En Couple,3,false,6629 AR 48
22,M,727,En Couple,0,false,7800 PB 84
28,F,1297,Célibataire,0,false,8986 GI 16
67,M,1343,En Couple,0,false,5755 AG 52
45,M,437,Célibataire,0,false,7153 QZ 38
54,M,1252,En Couple,1,true,1341 XZ 12
81,M,933,En Couple,2,false,3644 QO 40
18,F,737,Célibataire,0,false,9302 QU 40
45,F,570,En Couple,1,true,7862 YY 71
38,F,195,En Couple,0,false,9206 UV 53
26,M,706,Célibataire,0,false,967 QC 60
25,M,504,En Couple,0,false,5162 TN 38
48,F,568,En Couple,4,false,9870 XQ 69
22,M,242,Célibataire,0,false,2598 SQ 75
37,F,466,Célibataire,0,false,1238 LX 35
48,F,466,En Couple,1,false,4570 XK 33
25,M,184,En Couple,4,false,3619 PC 52
82,M,430,En Couple,0,false,9807 QP 53
82,M,484,Célibataire,0,false,7652 ZK 11
46,M,1185,Célibataire,0,false,5561 ZJ 22
24,F,152,En Couple,3,false,6432 FD 58
45,F,1223,Célibataire,0,false,6164 FF 47
25,M,225,Célibataire,0,false,8971 VD 51
37,M,516,En Couple,4,false,952 DP 87
29,F,455,Célibataire,0,false,1120 AS 53
21,M,764,En Couple,0,false,5334 XH 39
77,M,584,En Couple,0,true,5013 WL 13
44,M,909,Célibataire,0,false,6922 RC 13
28,M,187,Célibataire,0,false,8284 KO 66
62,F,235,Célibataire,0,false,1481 SU 68
45,M,221,Seule,3,false,6094 TW 53
19,M,514,En Couple,2,false,6834 RX 51
27,F,184,Célibataire,0,false,2096 OJ 65
57,M,863,En Couple,0,false,8943 TR 58
34,M,1117,En Couple,0,true,3343 IK 60
64,M,509,Célibataire,0,false,6130 RI 14
46,M,188,En Couple,4,false,3061 OW 63
24,M,1347,En Couple,0,false,3354 DR 71
36,M,850,En Couple,0,false,1651 RH 44
37,M,547,Célibataire,0,false,3149 TN 25
71,M,167,En Couple,1,false,455 OB 92
19,M,455,Célibataire,0,false,9981 ZP 36
22,F,823,Célibataire,0,false,8709 VA 42
50,M,487,En Couple,3,false,3509 OH 13
35,M,583,Célibataire,0,false,4095 HA 44
48,F,469,Seule,1,false,555 XK 38
43,F,543,En Couple,3,false,3711 FA 28
58,F,1306,Célibataire,0,false,5549 IN 27
75,M,499,En Couple,1,false,2793 WX 56
23,M,1372,Célibataire,0,false,5126 ND 45
25,M,404,En Couple,2,false,6300 KM 97
39,M,524,En Couple,2,false,9000 MB 93
64,M,436,En Couple,1,false,975 VD 85
22,F,720,Célibataire,0,false,6768 EP 93
54,M,1004,En Couple,1,true,4102 LQ 90
26,F,454,En Couple,2,false,9974 FN 66
56,F,447,En Couple,2,false,4395 VF 85
50,F,450,Célibataire,0,false,3708 RI 50
?,M,213,Célibataire,0,false,183 UD 77
81,M,456,Célibataire,0,false,5212 QE 78
27,M,547,En Couple,3,false,2857 PO 75
52,M,178,Célibataire,0,false,1229 YM 78
54,M,774,Célibataire,0,false,6010 SV 60
30,M,504,En Couple,4,true,5068 WT 39
20,M,445,En Couple,1,false,7137 CZ 91
32,F,591,En Couple,3,true,8116 AH 44
65,M,242,Célibataire,0,false,490 XM 77
20,M,554,Célibataire,0,false,2840 OU 18
22,F,434,En Couple,2,false,943 AF 30
49,M,590,En Couple,2,true,5222 CA 16
51,F,467,Célibataire,0,false,4258 JE 66
50,M,1360,En Couple,3,false,5155 XZ 34
58,Homme,593,Célibataire,0,false,9358 ZI 76
56,M,795,Célibataire,0,false,1091 SK 34
22,M,413,En Couple,2,true,2426 IU 75
45,M,576,Célibataire,0,false,8479 UR 36
36,M,821,En Couple,2,false,8439 ZS 12
39,M,569,Célibataire,0,false,4750 YO 74
82,M,462,Célibataire,0,false,6799 FV 71
79,M,468,En Couple,4,true,7359 XF 76
72,M,1338,En Couple,1,false,7510 TQ 94
22,M,199,En Couple,1,false,2683 VK 66
56,F,508,En Couple,2,false,3642 UO 73
20,M,472,En Couple,4,true,213 NB 17
71,F,528,En Couple,1,false,1301 KA 82
61,Homme,598,Célibataire,0,false,8123 XM 62
40,M,521,Célibataire,0,false,8775 IH 79
34,M,525,En Couple,1,true,3876 AS 76
18,F,430,En Couple,0,false,9902 ZL 73
39,M,230,En Couple,3,false,465 UO 41
36,M,559,Célibataire,0,false,8847 SK 14
37,M,249,En Couple,0,false,2781 TE 79
21,M,448,Célibataire,0,false,9292 IG 80
40,F,444,En Couple,2,false,1471 TR 67
34,F,520,En Couple,1,false,4141 VP 39
?,F,537,En Couple,0,false,149 OS 96
47,M,1289,En Couple,0,false,3033 NO 66
24,F,786,Célibataire,0,false,7513 HY 83
36,M,216,Célibataire,0,false,3724 RJ 45
19,M,529,Célibataire,0,false,9821 EE 80
71,M,839,En Couple,0,false,4192 UV 75
32,M,460,Seule,2,false,2016 GN 15
52,F,191,En Couple,1,false,6326 PM 58
54,M,1101,En Couple,3,false,1848 FI 85
42,F,400,En Couple,3,false,2731 UE 51
55,F,239,Célibataire,0,false,5526 SR 51
36,M,192,En Couple,1,false,8790 LD 74
47,F,415,En Couple,2,false,4615 UM 77
19,F,1334,Célibataire,0,false,3718 BT 73
29,M,440,En Couple,2,false,7376 AW 91
38,F,512,En Couple,4,false,9045 EX 87
21,F,405,Célibataire,0,false,2335 RA 31
24,M,181,En Couple,0,false,5305 FM 76
34,M,437,?,2,false,3022 LN 60
23,F,583,En Couple,2,false,800 YN 11
31,F,1189,En Couple,2,true,6977 EE 33
26,M,841,En Couple,2,false,8129 DR 59
44,M,421,En Couple,2,false,2628 NW 39
37,M,517,En Couple,0,false,9919 NJ 12
52,F,245,En Couple,2,false,7055 XA 63
78,M,235,En Couple,3,false,8774 BT 64
76,F,998,En Couple,2,false,4068 LQ 41
65,F,408,En Couple,1,false,1262 VV 36
78,M,442,En Couple,1,true,653 FD 89
71,F,592,En Couple,2,false,7013 CR 74
20,F,409,En Couple,2,false,3408 AU 93
18,M,185,Célibataire,0,false,8711 XV 85
25, ,572,Célibataire,0,false,7596 IH 74
23,M,903,En Couple,4,false,9655 AE 47
79,M,537,En Couple,4,false,2091 GS 60
34,M,530,En Couple,3,true,1684 VI 77
43,M,496,En Couple,4,false,4848 YZ 23
40,M,1129,Célibataire,0,false,2407 SE 23
19,M,167,En Couple,0,false,2296 BM 37
80,M,185,En Couple,4,false,8369 AQ 15
23,F,456,Célibataire,0,false,5242 ZN 95
77,M,1242,En Couple,1,false,7119 GU 38
58,M,489,Célibataire,0,false,3289 CP 70
35,F,872,Seule,1,false,5928 NY 97
29,F,492,Célibataire,0,false,1806 XH 95
47,F,192,En Couple,2,false,1274 VY 58
83,M,705,Célibataire,0,false,3824 JP 13
84,F,524,En Couple,2,false,5282 RJ 57
20,M,1381,Célibataire,0,false,7981 UH 11
25,M,427,En Couple,3,false,1763 JW 49
79,M,186,En Couple,3,false,7936 CB 88
60,M,1236,En Couple,3,false,8219 SF 61
51,M,237,En Couple,1,false,3099 PT 50
23,F,191,Célibataire,0,false,1491 GQ 67
19,M,234,En Couple,3,false,6540 OJ 37
51,M,247,En Couple,1,false,4093 XG 91
25,F,807,Célibataire,0,false,7945 LY 74
24,F,539,Célibataire,0,false,4454 AB 74
44,M,189,Célibataire,0,false,3061 SA 72
38,M,223,En Couple,2,false,6771 WM 61
23,M,1368,En Couple,2,true,1851 ZT 31
76,F,405,Célibataire,0,false,2597 MP 25
29,F,599,Seule,1,false,5455 CY 21
21,M,449,En Couple,0,false,3623 EL 67
82,F,163,En Couple,0,false,6642 KQ 95
21,M,487,En Couple,2,true,4380 TT 91
42,M,1100,En Couple,3,false,4780 AU 52
32,M,1235,En Couple,1,false,8211 AL 41
20,F,1385,Célibataire,0,false,6498 ZH 61
46,F,509,En Couple,0,false,3013 FA 50
28,F,485,Célibataire,0,false,7903 QC 32
33,M,163,En Couple,1,false,9107 XT 56
37,M,450,Célibataire,0,false,1692 WJ 89
61,M,536,En Couple,2,true,9882 IV 90
58,M,443,En Couple,0,true,1177 XL 58
26,M,1354,En Couple,4,false,448 ZO 93
31,M,574,En Couple,3,true,1427 ZZ 17
24,M,1152,Seule,2,false,1766 SU 15
58,M,-1,En Couple,0,false,9774 YM 32
70,F,416,En Couple,3,true,1893 HY 56
33,M,243,En Couple,0,false,5002 QP 76
30,M,533,En Couple,3,true,2131 SH 31
31,M,593,En Couple,1,false,7552 DH 88
40,F,909,En Couple,2,false,1885 VG 43
49,M,735,Célibataire,0,false,4436 JZ 88
38,F,184,En Couple,0,false,3164 NC 17
63,M,518,Célibataire,0,false,6114 GQ 19
24,M,1285,Célibataire,0,false,994 XE 22
67,M,934,En Couple,1,false,4210 TS 89
20,M,155,En Couple,2,false,7947 QS 78
30,M,1078,Célibataire,0,false,1269 YG 39
27,M,843,Célibataire,0,false,3535 GG 60
75,M,1250,Seule,1,false,9431 FV 70
33,F,1347,En Couple,2,false,2332 JT 26
59,M,233,En Couple,4,false,2093 EJ 21
52,M,942,En Couple,0,false,6557 CR 70
34,M,1085,En Couple,2,false,966 FE 67
19,M,214,Célibataire,0,false,2759 FU 23
21,M,934,En Couple,0,false,5324 JA 34
57,M,490,En Couple,2,false,3832 FK 62
61,F,1032,En Couple,2,false,6770 OB 26
27,F,1209,En Couple,3,false,4633 RO 33
70,M,461,Célibataire,0,false,3748 DD 49
78,M,480,En Couple,4,false,9787 CW 41
27,M,496,En Couple,2,true,8972 SF 22
18,M,211,Célibataire,?,false,4459 PU 82
23,F,923,Célibataire,0,false,697 UJ 34
24,M,437,En Couple,3,false,6351 ME 93
39,M,159,En Couple,0,false,5191 AX 13
64,F,561,En Couple,1,false,4071 MK 45
26,M,242,Célibataire,0,false,6396 VE 57
32,M,480,En Couple,1,false,1135 LJ 69
21,M,156,En Couple,1,false,7910 GB 73
39,M,442,En Couple,1,false,8345 PB 54
81,M,591,En Couple,0,false,1887 DE 39
57,F,1316,En Couple,4,false,5750 VD 23
50,F,986,Seule,2,false,7867 YP 49
45,M,1183,En Couple,3,false,2875 TO 94
44,M,1380,En Couple,0,false,9159 CU 81
20,F,927,En Couple,1,false,7645 US 21
56,M,1184,En Couple,0,false,7945 IY 87
45,M,497,Célibataire,0,false,8504 IE 94
19,F,158,En Couple,0,false,1236 AL 95
78,M,1314,En Couple,3,false,4737 GZ 97
42,M,585,Célibataire,0,false,8034 AX 60
22,M,516,En Couple,0,true,8297 WX 42
26,M,196,En Couple,0,true,2714 VE 57
77,M,421,En Couple,2,false,5866 YM 74
20,F,484,Célibataire,0,false,2009 OX 68
52,M,472,Célibataire,0,false,137 AO 32
48,F,772,En Couple,1,false,7370 QH 94
57,M,213,En Couple,0,false,9268 ZK 92
45,M,453,Célibataire,0,false,9808 UL 84
29,M,218,En Couple,3,false,1412 ZT 75
83,M,441,En Couple,2,true,3016 AC 18
42,M,582,En Couple,0,false,265 MO 30
55,M,1208,Célibataire,0,false,4186 IX 77
31,M,807,En Couple,3,false,4690 EK 40
29,F,438,En Couple,3,false,5143 GH 78
67,M,469,En Couple,4,false,8404 AP 30
27,F,1362,Célibataire,0,false,4937 RN 31
46,M,178,Célibataire,0,false,1376 JR 97
51,F,888,Célibataire,0,false,135 ZP 50
51,M,504,Célibataire,0,false,8159 QB 76
47,M,540,Célibataire,0,false,2112 JW 45
34,M,846,En Couple,0,false,4295 TH 86
69,M,193,Célibataire,0,false,637 FP 96
24,Homme,208,Célibataire,0,false,6053 JC 60
27,M,1106,En Couple,1,false,961 FS 40
48,F,599,En Couple,0,false,8033 GB 82
33,F,210,Célibataire,0,false,9418 NQ 58
43,M,540,En Couple,0,false,2847 JW 88
57,M,745,Célibataire,0,false,63 LB 75
60,M,560,En Couple,1,false,634 GG 44
51,M,454,Célibataire,0,false,6721 HO 41
26,M,502,Célibataire,0,false,73 SC 76
21,M,513,En Couple,0,false,3676 WI 58
51,M,248,En Couple,3,false,3628 SI 58
21,Masculin,476,Célibataire,0,false,8708 UZ 29
49,M,491,En Couple,4,true,5022 GC 85
28,M,579,En Couple,3,false,650 UO 18
75,F,215,En Couple,2,false,434 VS 65
35,F,475,En Couple,0,true,6375 CV 50
30,M,426,En Couple,1,false,7862 JT 67
21,F,505,En Couple,4,true,1821 UK 28
30,M,420,Célibataire,0,false,1925 JE 32
82,F,949,Célibataire,0,false,603 GE 18
40,M,451,En Couple,4,false,5214 JY 12
27,M,549,Seule,2,false,6263 HU 90
29,M,513,En Couple,0,false,5488 GY 70
50,F,969,Célibataire,0,false,1155 MM 89
43,M,565,En Couple,2,false,112 SD 64
39,M,1209,Célibataire,0,false,4186 MT 50
81,Masculin,493,En Couple,3,false,1022 SK 74
56,M,545,En Couple,2,false,1569 IR 31
78,F,525,N/D,2,false,2630 JH 90
77,Homme,1069,En Couple,2,false,5465 KN 35
78,F,436,Seule,2,false,1898 EZ 29
57,M,175,En Couple,0,false,2025 WD 84
19,F,520,En Couple,3,false,3882 DR 88
22,F,1057,Célibataire,0,false,5 AB 66
19,M,195,En Couple,2,true,5342 UV 10
23,M,441,Célibataire,0,false,3532 IK 87
79,F,472,Célibataire,0,false,8663 PW 47
36,M,1143,Célibataire,0,false,4547 TM 53
79,Homme,590,En Couple,0,false,2084 FQ 60
67,F,187,En Couple,0,false,7900 ZE 46
56,M,501,En Couple,3,true,6552 LZ 94
69,M,504,Célibataire,0,false,8948 YX 18
45,F,1309,En Couple,1,false,3190 QA 36
32,M,812,Célibataire,0,false,5022 EF 86
55,M,531,Célibataire,0,false,5048 ER 80
53,M,581,En Couple,2,false,8762 PL 82
23,M,560,Célibataire,0,false,6944 VM 88
32,M,430,En Couple,0,false,3042 IT 88
76,M,547,Célibataire,0,false,7199 UP 90
44,M,168,Célibataire,0,false,9801 PY 41
46,F,978,Seule,3,false,8908 KY 20
42,M,574,En Couple,0,false,7372 GS 69
53,F,213,Seule,1,false,6554 CV 53
22,F,867,En Couple,3,false,3986 GO 66
42,M,932,En Couple,2,true,805 MV 37
46,M,1264,Célibataire,0,false,3102 TC 77
21,M,223,Célibataire,0,false,738 AG 85
?,M,1390,En Couple,0,false,8873 TG 58
23,F,563,En Couple,0,false,3300 NI 21
67,F,456,En Couple,2,false,1546 VF 41
73,M,160,Célibataire,0,false,4803 EQ 58
34,M,735,En Couple,1,false,9008 OP 19
82,M,173,En Couple,2,false,20 ZQ 21
30,M,197,Célibataire,0,false,2595 CP 17
53,M,444,En Couple,2,true,7606 UL 65
24,F,468,Célibataire,0,false,8856 AN 98
42,M,482,En Couple,0,true,7825 GJ 24
31,F,527,Célibataire,0,false,9068 HU 70
45,M,452,En Couple,1,false,9334 UF 54
27,M,544,En Couple,2,false,9190 PK 33
28,F,240,En Couple,3,false,4499 XF 29
29,F,580,Célibataire,0,false,8455 JH 74
67,F,1312,Célibataire,0,false,3630 VN 74
28,M,243,Célibataire,0,false,2810 BF 87
30,M,592,Célibataire,0,false,7895 DK 31
27,M,525,En Couple,4,true,6294 EY 56
49,M,485,Célibataire,0,false,5192 LS 50
48,M,1292,Célibataire,0,false,8056 BN 97
27,F,517,En Couple,4,false,182 HJ 56
83,F,418,En Couple,4,false,6764 YJ 41
56,M,204,En Couple,4,true,4366 PT 13
63,M,557,Célibataire,0,false,499 OS 31
43,F,475,En Couple,4,true,9930 DK 54
20,M,1006,En Couple,3,false,8187 NM 81
56,F,488,En Couple,2,false,6012 QG 44
52,F,185,En Couple,2,false,9308 FC 28
75,M,510,En Couple,2,false,9712 LW 29
44,N/D,727,En Couple,1,true,3687 ST 64
33,M,1380,Célibataire,0,false,6923 XF 21
54,M,464,En Couple,4,false,5255 ZW 83
20,M,583,En Couple,0,true,352 ZY 62
33,M,151,En Couple,4,false,3681 OW 57
56,M,526,Célibataire,0,false,5383 TO 83
49,M,526,En Couple,3,false,4869 UN 98
36,M,401,Célibataire,0,false,7845 SH 32
59,M,462,En Couple,2,false,9708 FM 55
23,M,539,En Couple,2,false,5433 IV 57
51,M,858,Seule,1,false,490 PD 82
29,F,415,Seule,3,false,9146 FB 36
80,M,458,En Couple,1,false,9723 KV 90
57,M,401,Célibataire,0,false,5596 MH 75
51,M,403,En Couple,4,false,3495 WS 94
58,F,1082,Célibataire,0,false,2346 VR 81
46,M,247,En Couple,0,false,767 ZJ 16
47,M,485,En Couple,1,false,8474 HG 30
50,F,856,Célibataire,0,false,6735 WC 76
43,M,471,En Couple,4,false,1726 UP 82
32,M,706,En Couple,4,false,300 PG 70
41,F,188,En Couple,3,false,5487 JZ 11
21,F,589,En Couple,2,false,7173 BD 45
28,M,200,Célibataire,0,false,7730 ZF 39
35,M,544,En Couple,2,false,8932 FQ 37
22,M,989,En Couple,1,false,8388 JO 65
32,M,421,En Couple,2,false,8332 UY 14
75,M,507,En Couple,4,false,2655 ZI 57
43,F,570,Célibataire,0,false,9817 JT 21
31,M,442,Seule,1,false,8501 AK 31
24,F,593,Célibataire,0,false,1733 PN 90
48,F,488,En Couple,3,false,9905 OU 36
69,F,1128,En Couple,2,false,7391 PE 57
24,F,1273,En Couple,0,false,3355 IX 77
57,F,481,En Couple,1,true,3347 LJ 87
69,M,533,En Couple,1,false,6850 YF 49
 ,M,523,En Couple,2,false,7799 QD 83
79,M,413,En Couple,1,false,5249 RJ 57
48,M,536,Célibataire,0,false,3353 PS 92
55,M,405,En Couple,3,false,140 EN 55
68,F,415,En Couple,3,false,4036 IP 42
53,F,555,Seul,0,false,7842 KA 12
26,F,502,En Couple,0,false,4089 YI 96
35,M,217,En Couple,3,false,8874 MQ 41
65,F,540,En Couple,2,false,3224 WQ 30
49,M,434,En Couple,4,false,8055 SV 61
39,M,1269,Célibataire,0,false,8470 FV 75
79,F,155,En Couple,2,false,5334 FN 67
22,M,597,En Couple,1,false,8422 KF 60
18,F,1019,En Couple,0,false,6637 CV 38
58,M,1239,En Couple,0,false,9907 JT 18
18,F,573,En Couple,2,true,7003 CU 48
69,F,540,En Couple,1,false,5857 GA 14
22,M,762,En Couple,1,false,9180 TL 69
74,M,1215,Célibataire,0,false,3233 TA 81
77,M,754,En Couple,2,false,324 XV 19
72,F,462,Célibataire,0,false,1915 FU 34
22,M,-1,En Couple,1,true,1840 NZ 12
84,M,164,En Couple,0,false,7875 SR 32
40,M,434,En Couple,2,false,5514 WQ 64
59,F,924,En Couple,2,false,4374 IT 52
38,M,1256,En Couple,3,false,2788 AC 75
45,M,1089,En Couple,4,true,6220 KY 82
25,M,168,Célibataire,0,false,137 AK 14
21,M,418,En Couple,4,false,6613 YO 59
31,M,570,Célibataire,0,false,737 AX 35
48,M,186,En Couple,3,false,3070 ME 31
20,M,942,En Couple,2,false,3371 PY 77
19,M,985,En Couple,0,false,539 HX 26
59,M,520,En Couple,2,false,2482 ZG 12
42,M,178,En Couple,1,false,4492 MH 23
55,M,558,En Couple,0,false,6986 SH 81
20,F,1088,En Couple,1,false,1113 XX 69
38,F,591,Seule,2,false,145 GC 34
27,F,497,En Couple,3,true,7544 FF 47
26,F,155,En Couple,2,true,1264 QJ 73
52,F,199,Célibataire,0,false,6660 FM 25
34,F,958,En Couple,0,false,6106 WD 97
46,M,153,En Couple,2,false,6420 XY 66
23,M,528,En Couple,2,false,3689 GX 23
45,M,1192,En Couple,4,true,8700 OV 22
79,M,236,En Couple,3,false,3670 HO 27
50,M,723,En Couple,0,true,2661 TU 65
25,M,175,Seule,2,false,1407 OP 67
52,M,924,Célibataire,0,false,3556 QK 21
21,M,501,En Couple,0,false,8000 JS 54
26,M,506,En Couple,1,true,1626 BY 67
35,M,547,En Couple,1,false,765 KG 38
76,M,550,Célibataire,0,false,9664 TC 29
24,M,1080,Célibataire,0,false,9763 AL 74
18,M,462,En Couple,0,false,7304 VH 24
18,M,201,Célibataire,0,false,1084 FL 97
71,F,474,En Couple,4,false,865 VR 89
27,F,461,Célibataire,0,false,409 HU 65
56,M,240,En Couple,0,false,1217 VL 24
27,F,843,En Couple,2,true,4536 YL 55
29,F,437,En Couple,2,false,1466 QI 52
45,M,923,Célibataire,0,false,5517 WK 53
29,F,1360,En Couple,4,false,2151 JQ 46
31,M,1142,En Couple,2,false,5306 QC 27
36,M,503,Célibataire,0,false,3389 WV 31
50,M,545,En Couple,4,true,1273 SC 92
23,F,421,Célibataire,0,false,7837 VH 86
35,F,518,Célibataire,0,false,2686 VS 67
57,M,576,Célibataire,0,false,6670 ER 34
21,F,955,En Couple,0,false,3159 DO 32
52,M,544,En Couple,0,false,6293 JF 50
41,F,734,En Couple,3,false,2413 MR 64
23,M,589,En Couple,1,false,7086 DU 67
58,M,801,En Couple,1,false,1299 SM 16
39,F,153,Célibataire,0,false,9793 XI 17
64,M,1111,En Couple,1,false,8819 EQ 51
24,Femme,557,En Couple,4,false,3312 MJ 42
36,M,767,En Couple,0,false,1206 DS 85
18,M,547,Célibataire,0,false,5333 WU 46
42,M,559,Célibataire,0,false,5946 PV 83
30,M,506,En Couple,0,true,3670 ME 77
39,M,459,Célibataire,0,false,123 KV 73
50,M,241,En Couple,2,true,2163 GA 27
49,F,1381,En Couple,0,false,9996 IJ 80
31,M,489,En Couple,0,false,7508 TA 15
53,M,1327,Marié(e),2,true,4796 RR 81
29,F,211,En Couple,0,false,9948 UN 74
60,Masculin,167,En Couple,2,false,8644 YR 72
31,F,964,Seule,3,false,8634 KX 97
41,Féminin,534,Célibataire,0,false,4453 RI 27
32,M,470,Célibataire,0,false,1973 WD 62
64,F,1035,En Couple,0,false,1516 KK 69
26,M,727,En Couple,1,true,381 HU 86
47,M,1228,En Couple,4,false,8800 HZ 78
28,F,504,En Couple,4,false,6863 RM 29
79,F,445,En Couple,4,false,3536 MI 28
31,F,453,En Couple,1,false,7887 BY 41
53,M,974,En Couple,2,false,8006 AK 15
68,F,510,En Couple,3,false,8604 VZ 88
32,F,178,En Couple,0,false,5496 MB 66
47,M,761,Célibataire,0,false,6289 UC 90
57,M,190,En Couple,2,false,2932 LS 18
50,F,580,Célibataire,0,false,9472 OF 15
53,M,463,En Couple,2,false,1745 RK 58
58,M,523,En Couple,0,false,4023 VT 77
28,F,567,En Couple,2,false,8018 RV 38
